"Species","N.c4i","N.gnm","LM..Intercept.","LM.c4i","r.cor"
"DEJU",15.55013718903,13.7562225530062,0.0651716628734458,0.404350541943292,0.614919235797112
"DOWO",1.00184401352629,0.819947058649939,0.00707978753420417,0.00860453184704297,0.180500979153772
"EAKI",0.652299176049527,1.20725495883704,0.00876148015948325,0.311529383409407,0.584170233135228
"EAPH",0.0857950250899341,0.727471260142704,0.00525606771691244,1.4585754152514,0.530278870916336
"EUST",0.511359249616137,5.1664667975922,0.0332713813312532,2.64715334544991,0.616842317406339
"EVGR",0.368321881273665,0.444806163263599,0.00389026354809905,0.0289984433067203,0.132500385350684
"FOSP",1.752900899042,0.420160432668385,0.00283768979263569,0.0590419476836012,0.574997275095653
"GCKI",13.1950560035261,5.55300768679944,0.0398435538851268,0.083876411475887,0.649157552065847
"GRAJ",27.1705396177288,8.17219773688423,0.0250321892382416,0.195195568511311,0.766418962049617
"GRCA",2.74650912594861,1.03770818320886,0.00880337574161405,0.0105087767772747,0.182090828026838
"GRSP",0.0928504567777504,0.012643987241994,0.00047293563535717,0.000669859636349941,0.111112852471345
"GRYE",2.07386816359524,0.47156343414428,0.00336622766677756,0.0462501257571858,0.452934198672797
"HAWO",1.40888309825578,1.93497515138328,0.0161766212496421,0.0576152699699761,0.225454126107156
"HETH",7.93614847331259,6.56732583708126,0.0381749239215449,0.27627648132587,0.469014511556556
"HOLA",0.454198354517826,1.51719021341325,0.0118972398755731,0.33860773718468,0.643781429923941
"HOSP",0.208731225811628,7.25432084705496,0.052880556175253,5.72188477342166,0.642657799630276
"HOWR",5.0700205716177,5.08245592145075,0.0266266043211948,0.400611978077606,0.803646706694736
"KILL",0.693220366110593,1.81402112908593,0.0129521018667208,0.475665973371553,0.654966183101874
"LCSP",6.00862587469951,2.89058463409615,0.0249050831111309,0.00607824193384583,0.356166549944473
"LEFL",14.123497062668,14.3781957572333,0.119788295154483,0.0460753184247115,0.237188419934976
"MOWA",2.83738087902103,2.70369228598293,0.0192815107607833,0.174131514059642,0.676212505464844
"OSFL",1.13411616022136,0.425383349406723,0.00294109663462542,0.0856862324037691,0.494678800414568
"OVEN",23.0656609606457,10.0168365625069,0.0547557662650425,0.162230649656019,0.755176968535791
"PAWA",12.3585717751727,3.58837621486011,0.0184717977810455,0.123562544864866,0.692419159121995
"PHVI",1.92624605480766,1.67210677505063,0.0110909109095624,0.225537631092793,0.549617220189301
"RBNU",7.37390574866533,4.62516131269633,0.0304383821614665,0.154191795754618,0.551957683751843
"RCKI",15.1485510588781,8.98987870631478,0.0528843398233231,0.193382210195067,0.645672790010411
"REVI",9.32396217329847,15.3161644241062,0.0977373861341999,0.441410471894727,0.710365200037021
"RUBL",1.1155425743721,0.167212335733358,0.00138944850085753,0.0109004240144669,0.300173775472907
"SWTH",30.4288588484248,16.0635342773432,0.0571137325109404,0.312809548722483,0.747035716009343
"TEWA",80.9377596262831,34.171497605675,0.140631665987303,0.223078156387414,0.712842119173878
"WETA",8.36697916658219,2.1792204883687,0.0159818001208136,0.0473010217860979,0.320023646332267
"WIWR",2.52009802466012,1.11580799331116,0.00785828346408459,0.0947900184930858,0.478342769978598
"YRWA",52.7736688677243,29.8673689872931,0.0978550625880476,0.353460619035526,0.736810908842704
